Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,congratsText.started,congratsText.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,,0,0,0,5,,,,,,,,,,,,,,,,,5.5774095300002955,None,5.876865715996246,None,6.143562354001915,None,6.143562354001915,None,6.143562354001915,None,0.4,3,2.813,0.001559865806484595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,8.965028584992979,None,8.965028584992979,None,8.965028584992979,None,0.4,3,0.407,0.002297661398188211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
Trying a new route that you think will be a shortcut without the benefit of a map.,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,9.39834224099468,None,9.39834224099468,None,9.39834224099468,None,0.4,3,0.404,0.00024212639254983515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
Finding your way around in an unfamiliar mall.,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,9.831749275996117,None,9.831749275996117,None,9.831749275996117,None,0.4,3,0.409,0.0036885073932353407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,10.265680950004025,None,10.265680950004025,None,10.265680950004025,None,0.4,3,0.637,0.015184846793999895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,10.932289721997222,None,10.932289721997222,None,10.932289721997222,None,0.4,3,0.495,0.0002163813915103674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,11.465670296995086,None,11.465670296995086,None,11.465670296995086,None,0.4,3,0.562,0.006626810398302041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
Locating your car in a very large parking lot or parking garage.,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,12.048221870994894,None,12.048221870994894,None,12.048221870994894,None,0.4,3,0.414,0.00921611140074674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Admitting that your tastes are different from those of your friends. (S),,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.465662479997263,None,13.099703711006441,None,13.099703711006441,None,13.099703711006441,None,3,1.091,0.00014179039862938225,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21462562099623,None,14.21462562099623,None,14.21462562099623,None,3,0.908,0.005290859393426217,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Betting a day's income at the horse races. (G),,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.148343310997006,None,15.148343310997006,None,15.148343310997006,None,3,0.963,0.00915145939507056,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Buying an illegal drug for your own use. (H),,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.132472664001398,None,16.132472664001398,None,16.132472664001398,None,3,1.097,0.009797072387300432,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Cheating on an exam. (E),,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23250777499925,None,17.23250777499925,None,17.23250777499925,None,3,0.442,0.010395017394330353,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.71550882300653,None,17.71550882300653,None,17.71550882300653,None,3,0.41,0.005656660403474234,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.148470821994124,None,18.148470821994124,None,18.148470821994124,None,3,0.407,0.0027122723986394703,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.581478923995746,None,18.581478923995746,None,18.581478923995746,None,3,0.436,0.0023641703883185983,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Cheating by a significant amount on your income tax return. (E),,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.048166823995416,None,19.048166823995416,None,19.048166823995416,None,3,0.41,0.006489266379503533,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Disagreeing with your father on a major issue. (S),,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.481312871997943,None,19.481312871997943,None,19.481312871997943,None,3,0.409,0.004427896405104548,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Betting a day's income at a high stake poker game. (G),,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.914698869004496,None,19.914698869004496,None,19.914698869004496,None,3,0.407,0.0032302283943863586,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Having an affair with a married man or woman. (E),,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.34860247200413,None,20.34860247200413,None,20.34860247200413,None,3,0.409,0.005024907382903621,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Forging somebody's signature. (E),,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.76629094699456,None,20.76629094699456,None,20.76629094699456,None,3,0.449,0.010930617383564822,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Passing off somebody else's work as your own. (E),,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.248194594998495,None,21.248194594998495,None,21.248194594998495,None,3,0.408,0.004515098407864571,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.681280749995494,None,21.681280749995494,None,21.681280749995494,None,3,0.439,0.0028996894106967375,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.148951940005645,None,22.148951940005645,None,22.148951940005645,None,3,0.462,0.007181673383456655,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.632120989001123,None,22.632120989001123,None,22.632120989001123,None,3,0.864,0.005163946392713115,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.53166198299732,None,23.53166198299732,None,23.53166198299732,None,3,0.543,0.004219455397105776,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Approaching your boss to ask for a raise. (S),,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.083728404002613,None,24.083728404002613,None,24.083728404002613,None,3,0.45,0.010299184403265826,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Illegally copying a piece of software. (E) ,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.564684958997532,None,24.564684958997532,None,24.564684958997532,None,3,0.43,0.010555451386608183,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.014742514002137,None,25.014742514002137,None,25.014742514002137,None,3,0.412,0.005705263392883353,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.448457111997413,None,25.448457111997413,None,25.448457111997413,None,3,0.406,0.0017046524008037522,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.881851908998215,None,25.881851908998215,None,25.881851908998215,None,3,0.43,0.008716872398508713,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.332223086996237,None,26.332223086996237,None,26.332223086996237,None,3,0.497,0.009229637391399592,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.83358789299382,None,26.83358789299382,None,26.83358789299382,None,3,0.412,0.009932164393831044,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.281894177998765,None,27.281894177998765,None,27.281894177998765,None,3,0.414,0.008452877387753688,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Engaging in unprotected sex. (H),,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.70024841099803,None,27.70024841099803,None,27.70024841099803,None,3,0.449,0.010709380396292545,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.181812237002305,None,28.181812237002305,None,28.181812237002305,None,3,0.444,0.004767484395415522,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.647747725000954,None,28.647747725000954,None,28.647747725000954,None,3,0.442,0.004542930400930345,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1150925700058,None,29.1150925700058,None,29.1150925700058,None,3,0.415,0.008369786402909085,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.548209266999038,None,29.548209266999038,None,29.548209266999038,None,3,0.43,0.008661724394187331,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99886526899354,None,29.99886526899354,None,29.99886526899354,None,3,0.482,0.009795588382985443,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Gambling a week's income at a casino. (G),,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.498720639996463,None,30.498720639996463,None,30.498720639996463,None,3,0.413,0.00811265638913028,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.931281444994966,None,30.931281444994966,None,30.931281444994966,None,3,0.431,0.00788627439760603,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.381892949997564,None,31.381892949997564,None,31.381892949997564,None,3,0.447,0.008885711402399465,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.848451056997874,None,31.848451056997874,None,31.848451056997874,None,3,0.412,0.008736583404242992,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Trying out bungee jumping at least once. (R),,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.26693773099396,None,32.26693773099396,None,32.26693773099396,None,3,0.416,0.010053669408080168,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,"Piloting your own small plane, if you could. (R) ",,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.71452588599641,None,32.71452588599641,None,32.71452588599641,None,3,0.415,0.010213862391537987,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.14771949200076,None,33.14771949200076,None,33.14771949200076,None,3,0.407,0.0024551923852413893,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Regularly eating high cholesterol foods. (H) ,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.58113731100457,None,33.58113731100457,None,33.58113731100457,None,3,0.41,0.004512366387643851,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,33.998631405003835,None,36.9497357950022,None,3,1.04,0.0013114793982822448,None,36.9497357950022,None,36.9497357950022,None,36.9497357950022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,38.01469094399363,None,3,0.413,0.00848267538822256,None,38.01469094399363,None,38.01469094399363,None,38.01469094399363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
,Betting a day's income at the horse races. (G),,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,38.44831340300152,None,3,0.409,0.004825059382710606,None,38.44831340300152,None,38.44831340300152,None,38.44831340300152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1729,Big5,2020.2.4,60.08192951974862,
